send_time_ns,exit_time_ns,sender_to_A_s,service_time_A_s,A_to_B_s,service_time_B_s,B_to_sink_s,end_to_end_s,threads_A,threads_B,lambda,queue_len_A,queue_len_B
12452465800794907,12452465876305420,0.0201801,0.0200659,0.0505211,0.0500619,0.00480929,0.0755105,14,24,383.718,1,20
12452465809870962,12452465891508586,0.0201609,0.0200692,0.0527378,0.0500676,0.00873885,0.0816376,14,24,341.622,1,20
12452465810970859,12452465891525357,0.020182,0.0200612,0.0516179,0.0500724,0.00875456,0.0805545,14,24,341.622,1,20
12452465817055049,12452465891534594,0.0202059,0.0200638,0.0515972,0.0500701,0.00267642,0.0744795,14,24,341.622,1,20
12452465818131693,12452465891543781,0.0201627,0.0200639,0.0505932,0.0500648,0.00265621,0.0734121,14,24,341.622,1,20
12452465821206965,12452465905861221,0.0201546,0.0200636,0.0596225,0.0500668,0.00487723,0.0846543,14,24,407.374,1,20
12452465822282877,12452465905880026,0.020156,0.0200623,0.0586916,0.0500691,0.00474947,0.0835971,14,24,407.374,1,20
12452465823357698,12452465905888582,0.0201513,0.0200626,0.0576393,0.0500657,0.00474032,0.0825309,14,24,407.374,1,20
12452465832435116,12452465905896677,0.0201573,0.0200669,0.0524642,0.0500659,0.000840011,0.0734616,14,24,407.374,1,20
12452465833511499,12452465905909000,0.0201564,0.0200672,0.0514514,0.0500676,0.000789697,0.0723975,14,24,407.374,1,20
12452465838585800,12452465928053458,0.0202116,0.0200649,0.0583719,0.0500679,0.0108841,0.0894677,14,24,345.282,1,20
12452465850672467,12452465928070701,0.0201805,0.0200695,0.0504045,0.0500652,0.00681324,0.0773982,14,24,345.282,1,20
12452465854751736,12452465928079968,0.0201867,0.0200649,0.0514132,0.050067,0.00172832,0.0733282,14,24,345.282,1,20
12452465866833533,12452465942346141,0.0201822,0.0200664,0.0544835,0.0500654,0.000846834,0.0755126,14,24,307.202,1,20
12452465870911721,12452465942362963,0.0202429,0.0200661,0.0504127,0.0500644,0.000795649,0.0714512,14,24,307.202,1,20
12452465875995540,12452465952467763,0.0201849,0.0200655,0.0504509,0.0500679,0.00583646,0.0764722,14,24,394.904,1,20
12452465880132959,12452465967601368,0.0201663,0.0200693,0.0555306,0.0500711,0.0117714,0.0874684,14,24,362.043,1,20
12452465891210568,12452465967618310,0.0201647,0.02007,0.0525081,0.0500664,0.00373489,0.0764077,14,24,362.043,1,20
12452465892289456,12452465967628329,0.0201612,0.0200632,0.0514859,0.0500654,0.00369175,0.0753389,14,24,362.043,1,20
12452465896364959,12452465967637226,0.020164,0.0200713,0.0504099,0.0500657,0.000698327,0.0712723,14,24,362.043,1,20
12452465897442053,12452465995902863,0.0201542,0.020069,0.0604324,0.0500672,0.0178743,0.0984608,14,24,354.244,1,20
12452465905522277,12452465995920215,0.0201686,0.0200612,0.0523654,0.0500619,0.0178639,0.0903979,14,24,354.244,1,20
12452465913600866,12452465995929423,0.0201747,0.020072,0.0524332,0.0500676,0.0097207,0.0823286,14,24,354.244,1,20
12452465916677351,12452465995938219,0.0201526,0.0200628,0.0555675,0.0500731,0.00354069,0.0792609,14,24,354.244,1,20
12452465927754479,12452466020121822,0.0201603,0.0200653,0.0545507,0.0500697,0.0176564,0.0923673,14,24,320.911,1,20
12452465935856192,12452466020138783,0.0201916,0.0200681,0.061531,0.0500663,0.00255997,0.0842826,14,24,320.911,1,20
12452465941936846,12452466020148021,0.02018,0.020062,0.0555063,0.0500615,0.00252494,0.0782112,14,24,320.911,1,20
12452465944093890,12452466020156436,0.0201578,0.0200619,0.0534418,0.0500695,0.00246299,0.0760625,14,24,320.911,1,20
12452465943018759,12452466020166986,0.0201706,0.0200627,0.0545095,0.0500658,0.00246813,0.0771482,14,24,320.911,1,20
12452465952171448,12452466053391459,0.0201706,0.020064,0.0522786,0.0500727,0.0287708,0.10122,14,24,267.419,1,20
12452465967256363,12452466053409292,0.0201647,0.0200644,0.0584704,0.05007,0.00751784,0.0861529,14,24,267.419,1,20
12452465974334933,12452466053419311,0.0201795,0.0200659,0.0514246,0.0500699,0.00748028,0.0790844,14,24,267.419,1,20
12452465979416847,12452466075875833,0.020154,0.0200641,0.0704976,0.05007,0.0058073,0.096459,14,24,410.967,1,20
12452465980494704,12452466075893085,0.0201554,0.0200639,0.0694668,0.0500632,0.00577614,0.0953984,14,24,410.967,1,20
12452465995575771,12452466075902292,0.0201747,0.0200666,0.0543976,0.050067,0.0057543,0.0803265,14,24,410.967,1,20
12452465998654830,12452466075911159,0.0201651,0.0200637,0.0513566,0.0500633,0.00573463,0.0772563,14,24,410.967,1,20
12452466019737302,12452466106340314,0.0201876,0.020071,0.0634603,0.0500745,0.00295505,0.086603,14,24,365.326,1,20
12452466029817096,12452466106358878,0.0201991,0.0200748,0.0534028,0.0500654,0.00293985,0.0765418,14,24,365.326,1,20
12452466035894613,12452466108394105,0.0201739,0.0200718,0.0514,0.0500723,0.000925591,0.0724995,14,24,376.866,1,20
