send_time_ns,exit_time_ns,sender_to_A_s,service_time_A_s,A_to_B_s,service_time_B_s,B_to_sink_s,end_to_end_s,threads_A,threads_B,lambda,queue_len_A,queue_len_B
12452362258813179,12452362431362613,0.0202884,0.0200724,0.151538,0.0500723,0.000722691,0.172549,10,10,498.319,0,0
12452362299361640,12452362431397559,0.0202881,0.0200691,0.111059,0.0500658,0.000689129,0.132036,10,10,498.319,0,0
12452362329609285,12452362431407337,0.0201712,0.0200635,0.0810869,0.0500656,0.00054,0.101798,10,10,498.319,0,0
12452362267195607,12452362431416023,0.0203245,0.0200688,0.143402,0.0500665,0.000494154,0.16422,10,10,498.319,0,0
12452362263109675,12452362431426313,0.0202522,0.0200739,0.147621,0.050069,0.00044346,0.168317,10,10,498.319,0,0
12452362284281695,12452362431436572,0.0201728,0.0200638,0.126557,0.0500641,0.000425256,0.147155,10,10,498.319,0,0
12452362262032050,12452362431451169,0.0202691,0.0200753,0.148711,0.050065,0.000439292,0.169419,10,10,498.319,0,0
12452362311526273,12452362431468351,0.0201787,0.0200673,0.0993117,0.050065,0.000451635,0.119942,10,10,498.319,0,0
12452362302438425,12452362431483219,0.0201709,0.0200693,0.108414,0.0500671,0.000460241,0.129045,10,10,498.319,0,0
12452362259938574,12452362431491785,0.0202774,0.0200719,0.150815,0.0500675,0.000460762,0.171553,10,10,498.319,0,0
12452362353689263,12452362485993584,0.0202916,0.0200768,0.106733,0.0500665,0.00527925,0.132304,10,10,422.96,0,0
12452362354764093,12452362486095795,0.0201594,0.0200712,0.10586,0.0500637,0.00531266,0.131332,10,10,422.96,0,0
12452362361849827,12452362486104882,0.0201668,0.0200667,0.0989281,0.0500636,0.00516021,0.124255,10,10,422.96,0,0
12452362389935869,12452362486114200,0.0203163,0.0200725,0.0707451,0.0500663,0.00511701,0.0961783,10,10,422.96,0,0
12452362391088265,12452362486129007,0.0201757,0.0200683,0.0697923,0.0500647,0.00507278,0.0950407,10,10,422.96,0,0
