send_time_ns,exit_time_ns,sender_to_A_s,service_time_A_s,A_to_B_s,service_time_B_s,B_to_sink_s,end_to_end_s,threads_A,threads_B,lambda,queue_len_A,queue_len_B
12452568674601667,12452568856880738,0.0203511,0.0200672,0.151394,0.0500683,0.010534,0.182279,10,10,477.129,0,0
12452568675729777,12452568856921455,0.0202966,0.020073,0.150413,0.0500665,0.010482,0.181192,10,10,477.129,0,0
12452568676810498,12452568856930261,0.0202343,0.0200684,0.149397,0.0500706,0.0104882,0.18012,10,10,477.129,0,0
12452568708352243,12452568856938667,0.0201813,0.0200686,0.118055,0.0500718,0.0103505,0.148586,10,10,477.129,0,0
12452568690030645,12452568856949607,0.0203219,0.0200693,0.136285,0.0500661,0.0103116,0.166919,10,10,477.129,0,0
12452568680896290,12452568856963794,0.0202506,0.0200707,0.145552,0.0500679,0.0102647,0.176068,10,10,477.129,0,0
12452568696113592,12452568856972370,0.0202087,0.0200657,0.130378,0.0500624,0.0102725,0.160859,10,10,477.129,0,0
12452568699272791,12452568856994882,0.0201563,0.0200657,0.127276,0.0500678,0.0102897,0.157722,10,10,477.129,0,0
12452568682986119,12452568857088747,0.0202274,0.0200656,0.143503,0.0500674,0.0103726,0.174103,10,10,477.129,0,0
12452568698194685,12452568857103435,0.0202746,0.0200719,0.128254,0.0500664,0.0103798,0.158909,10,10,477.129,0,0
12452568713430722,12452568905624548,0.0201767,0.020071,0.162818,0.0500688,0.00919956,0.192194,10,10,399.592,0,0
12452568714508558,12452568905647231,0.0201552,0.0200654,0.161846,0.0500623,0.00913725,0.191139,10,10,399.592,0,0
12452568717585783,12452568905655626,0.0201637,0.0200682,0.158768,0.0500652,0.00913793,0.18807,10,10,399.592,0,0
12452568719669401,12452568905664653,0.0201898,0.0200689,0.156809,0.0500701,0.0089963,0.185995,10,10,399.592,0,0
12452568721752046,12452568905678930,0.0201547,0.0200674,0.154802,0.0500631,0.00896988,0.183927,10,10,399.592,0,0
12452568737917181,12452568905687766,0.0201743,0.0200649,0.138689,0.0500655,0.00890721,0.167771,10,10,399.592,0,0
